,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
L1,L2,L3,L4,NCSS Code,LCCMR,SHI_NRCS,SAA,CIG,Mower,Ward,AgVise,MVTL,Field Measurement,Jess Lab,UMN RAL,Name of Method,Description,Reference,UMN RAL Code,Notes,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,Chemical,,,,,,,,,,,,,,,,,,,
,C1,,,,,,,,,,,,,,,"Carbon, C",,,,,,,,,,,,,,,,,,,
,,C1a,,4H2a1,,1,1,1,,,,,,,,Total Carbon,dry combustion,"SSIR No 42, v5, pg.464, https://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=492",,,,,,,,,,,,,,,,,
,,,C1a1,,,,,,,,,,,,,total_carbon_percent,,,,,,,,,,,,,,,,,,,
,,C1b,,,0,,,,,0,,,0,,1,Organic Carbon,,,,,,,,,,,,,,,,,,,
,,,C1b1,,0,,,,,0,,,0,,1,Organic Carbon Noncalcareous Samples,"a: Noncalcareous samples: Determined by dry combustion at 900°F and subsequent measurement of CO2evolution by using a Elementar, Inc. VarioMAX C/N Analyzer.","LECO Corporation. 3000 Lakeview Dr. St Joseph, MI 49085.","S07, S08, S09",,,,,,,,,,,,,,,,
,,,C1b2,,0,,,,,0,,,0,,1,Organic Carbon Calcareous Samples,"b: Calcareous samples: Determination of Organic Carbon by analysis of a subsample which was fumigated with hydrochloric acid for 16 hours in order to remove carbonates. Once carbonates are removed, the above method (a) is used. ","LECO Corporation. 3000 Lakeview Dr. St Joseph, MI 49085.","S07, S08, S09",,,,,,,,,,,,,,,,
,,,C1b3,,0,,,,1,,,,,,,Total Organic Carbon (TOC%),,,,,,,,,,,,,,,,,,,
,,C1c,,,1,,,,,1,,,0,,0,"Water extract, Total Organic Carbon",,,,,,,,,,,,,,,,,,,
,,,C1c1,,,,,,,,,,,,,"Water extract, Total Organic Carbon","Water extract, RFA colorimetric",,,,,,,,,,,,,,,,,,
,,,C1c2,,,,,,,,,,,,,"Water extract, Total Organic Carbon, ppm C, Haney test, Ward Labs","Haney, Ward Labs",,,,,,,,,,,,,,,,,,
,,C1d,,,1,,,,,1,,,0,,0,Mircrobially Active Carbon (%MAC),"Haney, Ward Labs",,,,,,,,,,,,,,,,,,
,,C1e,,,,,1,1,1,,,,,,,Permanganate Oxidizable Carbon (POXC),,,,,,,,,,,,,,,,,,,
,,,C1e1,,,,1,1,1,,,,,,,Permanganate Oxidizable Carbon (POXC),,"Culman, S. W., Snapp, S. S., Freeman, M. A., Schipanski, M. E., Beniston, J., Lal, R., Drinkwater, L. E., Franzluebbers, A. J., Glover, J. D., Grandy, A. S., Lee, J., Six, J., Maul, J. E., Mirksy, S. B., Spargo, J. T., & Wander, M. M. (2012). Permanganate Oxidizable Carbon Reflects a Processed Soil Fraction that is Sensitive to Management. Soil Science Society of America Journal, 76(2), 494–494. https://doi.org/10.2136/sssaj2011.0286",,,,,,,,,,,,,,,,,
,,,C1e2,6A2,,,,,,,,,,,,"Biomass, 0.02 M KMnO4 (Potassium manganate) Extractable, C","A 5-g sample is oxidized with 0.02 M potassium permanganate diluted with reverse osmosis water. Sample is vortexed and allowed to stand undisturbed for 10 minutes. A small aliquot of the supernatant is diluted with reverse osmosis water, and the absorbance of the solution is read at 550 nm using a spectrophotometer. Reactive carbon is reported in units of milligram POx C per kilogram oven dry soil (mg reactive carbon kg_1).","SSIR No. 42, V4, pg 505, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=533",,,,,,,,,,,,,,,,,
,,C1f,,,,,,,,,,,,,,Carbonates,,,,,,,,,,,,,,,,,,,
